GARE_IDE_GAR;GARE_IDE_GAR_ORI;GARE_IDE_GAR_DES;COMMUNE;commune;LATITUDE;LONGITUDE;ZONE_GARE_ORI;ZONE_GARE_DES;ZONE_GARE
545277;545277;545277;94077;Villeneuve-le-Roi;48.7398253728; 2.42618441057;4;4;4
545285;545285;545285;94022;Choisy-le-Roi;48.7646791205; 2.41097222313;3;3;3
545475;545475;545475;91207;Egly;48.5824269228; 2.22228216751;5;5;5
545731;545731;545731;28051;Bonneval;48.186287565; 1.3861167316;100;100;100
546200;546200;546200;94054;Orly;48.7417910405; 2.40277215996;4;4;4
546291;546291;546291;94065;Rungis;48.7402800868; 2.35276043346;4;4;4
547307;547307;547307;75107;Paris;48.8592617784; 2.327951672;1;1;1
681353;681353;681353;91521;Evry;48.6479449073; 2.43641871488;5;5;5
681411;681411;681411;91386;Mennecy;48.5710632679; 2.43325188735;5;5;5
682104;682104;682104;91421;Montgeron;48.7080369018; 2.46228325227;4;4;4
682112;682112;682112;91691;Yerres;48.7067634252; 2.48337131052;4;4;4
682146;682146;682146;77122;Combs-la-Ville;48.6671976463; 2.54769338184;5;5;5
682179;682179;682179;77285;Le Mée-sur-Seine;48.5399387084; 2.62404631973;5;5;5
682302;682302;682302;77305;Montereau-Fault-Yonne;48.3798317075; 2.94290979682;5;5;5
682419;682419;682419;77096;Chartrettes;48.4871097023; 2.69505424001;5;5;5
682443;682443;682443;77442;Samoreau;48.4305611079; 2.75278446885;5;5;5
682476;682476;682476;77210;La Grande-Paroisse;48.3786447963; 2.89744111747;5;5;5
682542;682542;682542;77407;Saint-Fargeau-Ponthierry;48.5645508759; 2.54245766803;5;5;5
684001;684001;684001;45208;Montargis;48.0071802686; 2.74297582165;100;100;100
684118;684118;684118;77048;Bourron-Marlotte;48.3327513392; 2.69223391218;5;5;5
684126;684126;684126;77431;Saint-Pierre-lès-Nemours;48.2679088703; 2.68565411114;5;5;5
684191;684191;684191;77016;Bagneaux-sur-Loing;48.230720823; 2.70325251947;5;5;5
684217;684217;684217;77458;Souppes-sur-Loing;48.1819631741; 2.7351551039;5;5;5
684233;684233;684233;45127;Dordives;48.1476530629; 2.76250789444;100;100;100
686667;686667;686667;75112;Paris;48.8397147738; 2.38244508142;1;1;1
758003;758003;758003;75108;Paris;48.8756403455; 2.30026252375;1;1;1
758011;758011;758011;92062;;48.8921319365; 2.23758257184;3;3;3
758367;758367;758367;77258;Lognes;48.8389308762; 2.6341133067;5;5;5
